Sequence+H1A1:H1,Source,Feature,Start,End,Score,Strand,Frame,Attributes,,,,,,,,
Contig_1_244.282,Local,region,1,1487,.,+,.,ID=Contig_1_244.282:1..1487;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_5767,,,,,,,,
Contig_1_244.282,.,gene,290,595,.,+,.,ID=gene-pgaptmp_000117;Name=pgaptmp_000117;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000117,,,,,,,,
Contig_1_244.282,Protein Homology,CDS,290,595,.,+,0,ID=cds-pgaptmp_000117;Parent=gene-pgaptmp_000117;Name=extdb:pgaptmp_000117;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325556.1;locus_tag=pgaptmp_000117;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000117;transl_table=4,,,,,,,,
Contig_1_244.282,.,gene,625,1047,.,+,.,ID=gene-pgaptmp_000118;Name=pgaptmp_000118;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000118,,,,,,,,
Contig_1_244.282,Protein Homology,CDS,625,1047,.,+,0,ID=cds-pgaptmp_000118;Parent=gene-pgaptmp_000118;Name=extdb:pgaptmp_000118;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874822.1;locus_tag=pgaptmp_000118;product=hypothetical protein;protein_id=extdb:pgaptmp_000118;transl_table=4,,,,,,,,
Contig_1_244.282,.,gene,1180,1487,.,-,.,ID=gene-pgaptmp_000119;Name=pgaptmp_000119;end_range=1487,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000119;partial=true,,,,,,,
Contig_1_244.282,Protein Homology,CDS,1180,1487,.,-,2,ID=cds-pgaptmp_000119;Parent=gene-pgaptmp_000119;Name=extdb:pgaptmp_000119;end_range=1487,.;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874457.1;locus_tag=pgaptmp_000119;partial=true;product=DUF16 domain-containing protein;protein_id=extdb:pgaptmp_000119;transl_table=4,,,,,,,
Contig_2_118.074,Local,region,1,59286,.,+,.,ID=Contig_2_118.074:1..59286;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_5767,,,,,,,,
Contig_2_118.074,.,gene,22,3039,.,+,.,ID=gene-pgaptmp_000266;Name=pgaptmp_000266;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000266,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,22,3039,.,+,0,ID=cds-pgaptmp_000266;Parent=gene-pgaptmp_000266;Name=extdb:pgaptmp_000266;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874812.1;locus_tag=pgaptmp_000266;product=hypothetical protein;protein_id=extdb:pgaptmp_000266;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,3115,3203,.,-,.,ID=gene-pgaptmp_000267;Name=pgaptmp_000267;gbkey=Gene;gene_biotype=tRNA;locus_tag=pgaptmp_000267,,,,,,,,
Contig_2_118.074,tRNAscan-SE,tRNA,3115,3203,.,-,.,ID=rna-pgaptmp_000267;Parent=gene-pgaptmp_000267;anticodon=(pos:complement(3167..3169));gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000267;product=tRNA-Ser,,,,,,,,
Contig_2_118.074,tRNAscan-SE,exon,3115,3203,.,-,.,ID=exon-pgaptmp_000267-1;Parent=rna-pgaptmp_000267;anticodon=(pos:complement(3167..3169));gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000267;product=tRNA-Ser,,,,,,,,
Contig_2_118.074,.,gene,3205,3295,.,-,.,ID=gene-pgaptmp_000268;Name=pgaptmp_000268;gbkey=Gene;gene_biotype=tRNA;locus_tag=pgaptmp_000268,,,,,,,,
Contig_2_118.074,tRNAscan-SE,tRNA,3205,3295,.,-,.,ID=rna-pgaptmp_000268;Parent=gene-pgaptmp_000268;anticodon=(pos:complement(3259..3261));gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000268;product=tRNA-Ser,,,,,,,,
Contig_2_118.074,tRNAscan-SE,exon,3205,3295,.,-,.,ID=exon-pgaptmp_000268-1;Parent=rna-pgaptmp_000268;anticodon=(pos:complement(3259..3261));gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000268;product=tRNA-Ser,,,,,,,,
Contig_2_118.074,.,gene,3365,4228,.,+,.,ID=gene-pgaptmp_000269;Name=pgaptmp_000269;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000269,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,3365,4228,.,+,0,ID=cds-pgaptmp_000269;Parent=gene-pgaptmp_000269;Name=extdb:pgaptmp_000269;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874811.1;locus_tag=pgaptmp_000269;product=hypothetical protein;protein_id=extdb:pgaptmp_000269;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,4317,4898,.,+,.,ID=gene-pgaptmp_000270;Name=pgaptmp_000270;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000270,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,4317,4898,.,+,0,ID=cds-pgaptmp_000270;Parent=gene-pgaptmp_000270;Name=extdb:pgaptmp_000270;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325547.1;locus_tag=pgaptmp_000270;product=hypothetical protein;protein_id=extdb:pgaptmp_000270;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,4919,5671,.,+,.,ID=gene-pgaptmp_000271;Name=pgaptmp_000271;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000271,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,4919,5671,.,+,0,ID=cds-pgaptmp_000271;Parent=gene-pgaptmp_000271;Name=extdb:pgaptmp_000271;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874809.1;locus_tag=pgaptmp_000271;product=adhesin;protein_id=extdb:pgaptmp_000271;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,5685,7703,.,+,.,ID=gene-pgaptmp_000272;Name=hmw3;gbkey=Gene;gene=hmw3;gene_biotype=protein_coding;locus_tag=pgaptmp_000272,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,5685,7703,.,+,0,ID=cds-pgaptmp_000272;Parent=gene-pgaptmp_000272;Name=extdb:pgaptmp_000272;gbkey=CDS;gene=hmw3;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874808.1;locus_tag=pgaptmp_000272;product=terminal organelle protein HMW3;protein_id=extdb:pgaptmp_000272;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,7743,8852,.,+,.,ID=gene-pgaptmp_000273;Name=pgaptmp_000273;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000273,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,7743,8852,.,+,0,ID=cds-pgaptmp_000273;Parent=gene-pgaptmp_000273;Name=extdb:pgaptmp_000273;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874807.1;locus_tag=pgaptmp_000273;product=ComEC/Rec2 family competence protein;protein_id=extdb:pgaptmp_000273;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,8776,9675,.,+,.,ID=gene-pgaptmp_000274;Name=pgaptmp_000274;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000274,,,,,,,,
Contig_2_118.074,Protein Homology,CDS,8776,9675,.,+,0,ID=cds-pgaptmp_000274;Parent=gene-pgaptmp_000274;Name=extdb:pgaptmp_000274;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017532757.1;locus_tag=pgaptmp_000274;product=hypothetical protein;protein_id=extdb:pgaptmp_000274;transl_table=4,,,,,,,,
Contig_2_118.074,.,gene,9687,11033,.,+,.,ID=gene-pgaptmp_000275;Name=pgaptmp_000275;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000275,,,,,,,,
